,Lat,Lon,Alt
187,39.89,-96.6,396.0
188,39.89,-96.1,345.0
189,39.89,-95.6,289.0
190,39.89,-95.1,253.0
191,39.89,-94.6,274.0
192,39.89,-94.1,308.0
193,39.89,-93.6,236.0
194,39.89,-93.1,263.0
195,39.89,-92.6,264.0
196,39.89,-92.1,238.0
197,39.89,-91.6,181.0
198,39.89,-91.1,222.0
199,39.89,-90.6,135.0
200,39.89,-90.1,187.0
201,39.89,-89.6,175.0
202,39.89,-89.1,201.0
203,39.89,-88.6,207.0
204,39.89,-88.1,203.0
205,39.89,-87.6,208.0
206,39.89,-87.1,237.0
207,39.89,-86.6,286.0
208,39.89,-86.1,227.0
209,39.89,-85.6,306.0
210,39.89,-85.1,308.0
211,39.89,-84.6,325.0
212,39.89,-84.1,294.0
213,39.89,-83.6,360.0
214,39.89,-83.1,261.0
215,39.89,-82.6,287.0
216,39.89,-82.1,0.0
217,39.89,-81.6,263.0
218,39.89,-81.1,334.0
219,39.89,-80.6,404.0
220,39.89,-80.1,350.0
221,39.89,-79.6,622.0
222,39.89,-79.1,754.0
223,39.89,-78.6,454.0
224,39.89,-78.1,238.0
225,39.89,-77.6,237.0
226,39.89,-77.1,150.0
227,39.89,-76.6,243.0
228,39.89,-76.1,0.0
229,39.89,-75.6,68.0
230,39.89,-75.1,4.0
231,39.89,-74.6,31.0
232,39.89,-74.1,0.0
233,39.89,-73.6,0.0
234,39.89,-73.1,0.0
235,39.89,-72.6,0.0
236,39.89,-72.1,0.0
237,39.89,-71.6,0.0
238,39.89,-71.1,0.0
239,39.89,-70.6,0.0
240,39.89,-70.1,0.0
241,39.89,-69.6,0.0
242,39.89,-69.1,0.0
243,39.89,-68.6,0.0
244,39.89,-68.1,0.0
245,39.89,-67.6,0.0
246,39.89,-67.1,0.0
247,39.89,-66.6,0.0
248,39.39,-128.1,0.0
249,39.39,-127.6,0.0
250,39.39,-127.1,0.0
251,39.39,-126.6,0.0
252,39.39,-126.1,0.0
253,39.39,-125.6,0.0
254,39.39,-125.1,0.0
255,39.39,-124.6,0.0
256,39.39,-124.1,0.0
257,39.39,-123.6,247.0
258,39.39,-123.1,624.0
259,39.39,-122.6,608.0
260,39.39,-122.1,21.0
261,39.39,-121.6,30.0
262,39.39,-121.1,504.0
263,39.39,-120.6,2124.0
264,39.39,-120.1,1721.0
265,39.39,-119.6,1840.0
266,39.39,-119.1,1383.0
267,39.39,-118.6,1239.0
268,39.39,-118.1,1680.0
269,39.39,-117.6,1971.0
270,39.39,-117.1,2709.0
271,39.39,-116.6,2123.0
272,39.39,-116.1,2273.0
273,39.39,-115.6,1914.0
274,39.39,-115.1,2279.0
275,39.39,-114.6,3309.0
276,39.39,-114.1,1920.0
277,39.39,-113.6,1394.0
